Chasseneuil-du-Poitou,CHN
Chasseneuil-sur-Bonnieure,CBN
Chasseradès,CJD
Chauffailles,CHF
Chaugey,CFJ
Chaulnes,CHL
Chaumont,CHM
Chaumont-en-Vexin,CEV
Chauny,CNY
Chaux-des-Crotenay,LXR
Chaville - Vélizy,CHV
Chaville Rive Droite,CWJ
Chaville Rive Gauche,CVI
Chazay - Marcilly,CZM
Chedde,CED
Cheilly-lès-Maranges,CJL
Chelles - Gournay,CSG
Chemilly - Appoigny,CAP
Chemillé-en-Anjou,CHE
Chemin d'Antony,CHQ
Chenevières,CKY
Chenonceaux,CQH
Cherbourg-en-Cotentin,CBU
Chessy,CZI
Chevaigné,CWH
Chevillon,CIN
Chevilly,CVY
Chevrières,CGB
Chilly-Mazarin,CAZ
Chindrieux,CWX
Chinon,CHI
Chirac,CAC
Chissay-en-Touraine,CXT
Chocques,CRG
Choisy-le-Roi,CLR
Cholet,CHT
Chorges,CHO
Chouzy-sur-Cisse,CZV
Châbons,CKN
Châlons-en-Champagne,CMP
Château-Arnoux-Saint-Auban,SAU
Château-Gaillard,CGK
Château-Renault,CTI
Château-Thierry,CTH
Château-du-Loir,CDL
Château-l'Évêque,CEQ
Châteaubourg,CTG
Châteaubriant,CTB
Châteaubriant Tram Train,CTQ
Châteaudun,CUN
Châteaulin,CEM
Châteauneuf - Bujaleuf,CBF
Châteauneuf-sur-Charente,CSC
Châteauneuf-sur-Cher,CHC
Châteauroux,CTX
Châtel - Nomexy,CEO
Châtel-Censoir,CAL
Châtelaillon-Plage,CTL
Châtelaudren - Plouagat,CDN
Châtellerault,CRT
Châtillon d'Azergues,CDZ
Chèvremont,CMF
Chézy-sur-Marne,CYZ
Cinq-Mars-la-Pile,CQM
Cintegabelle,CBT
Cires-lès-Mello,CIW
Ciry-le-Noble,CYL
Civrieux-d'Azergues,CZK
Cize - Bolozon,CZQ
Clacy - Mons,ONS
Clamart,CMA
Clamecy,CLA
Clelles - Mens,CMS
Clermont La Pardieu,COP
Clermont La Rotonde,RTD
Clermont de l'Oise,CDO
Clermont-Ferrand,CLF
Clermont-en-Argonne,CTA
Clerval,CVL
Clichy - Levallois,CLL
Clisson,CLI
Cloyes-sur-le-Loir,CLO
Cluses,CLU
Clères,CRS
Coarraze - Nay,CZN
Coat Guégan,CQG
Cognac,COG
Coignières,CGW
Collioure,COX
Collonges - Fontaines,COF
Collonges-lès-Premières,CLG
Colmar,CMR
Colmar Mésanges,CXM
Colmar Saint-Joseph,CXJ
Colombes,CBK
Colombier-Fontaine,CFT
Colomiers,COL
Colomiers Lycée International,LYF
Combourg,CUG
Combs-la-Ville - Quincy,CBV
Commentry,CMY
Commercy,CCY
Compans,COJ
Compiègne,CPE
Conches-en-Ouche,CCH
Condat - Le Lardin,CDT
Condé-sur-Huisne,CDH
Conflans - Jarny,CJJ
Conflans Fin d'Oise,CFD
Conflans-Sainte-Honorine,CSH
Conlie,CIE
Connerré - Beillé,COB
Contrexéville,CXC
Corbehem,COR
Corbeil-Essonnes,COE
Corbie,CBI
Corbigny,CBY
Corcy,CKX
Cordemais,CDQ
Cordes - Vindrac,VDC
Corgoloin,CGO
Cormeilles-en-Parisis,CPA
Cormery,CEY
Cornil,CIL
Coron de Méricourt,CQW
Corps-Nuds,CPS
Corrèze,CZE
Corseul - Languenan,CFA
Cosne-Cours-sur-Loire,COS
Coucy-lès-Eppes,CCP
Coudekerque-Branche,CDK
Couffoulens - Leuc,CFW
Couilly - Saint-Germain - Quincy,CYQ
Coulanges-sur-Yonne,CAO
Couliboeuf,CLB
Coulommiers,CQU
Courbevoie,KOU
Courcay - Tauxigny,KYY
Courcelles-le-Comte,COK
Courcelles-sur-Nied,CCD
Courcy - Brimont,CIM
Coursan,KOS
Courtalain - Saint-Pellerin,CWP
Courthézon,CTZ
Courville-sur-Eure,CVB
Cousance,CSJ
Coutances,CCS
Coutras,COU
Couze,CZD
Couzon-au-Mont-d'Or,KMD
Couëron,CNQ
Cramoisy,CYO
Cransac,CRZ
Cravant - Bazarnes,CBZ
Creil,CLH
Crest,CRE
Crissé,CIK
Croix - Wasquehal,CRW
Croix L'Allumette,CIX
Croix Sainte,XST
Croix du Prince,XDP
Cros de Cagnes,CKG
Crouy,CRU
Crouy-sur-Ourcq,CQQ
Crécy-la-Chapelle,CLC
Crépieux la Pape,CLP
Crépy - Couvron,CYU
Crépy-en-Valois,CYV
Créteil Pompadour,CTP
Crêches-sur-Saône,KSA
Cubzac-les-Ponts,KBZ
Cuers - Pierrefeu,CFU
Cugand,KUG
Cuinchy,CUH
Culmont - Chalindrey,CYN
Culoz,CUZ
Cérons,CGD
Dachstein,DCN
Dambach-la-Ville,DMB
Damiatte - Saint-Paul,DSP
Dammartin - Juilly - Saint-Mard,DAM
Dangé-Saint-Romain,DGE
Danjoutin,DGI
Dannemarie,DAN
Dannemarie - Velesmes,DNV
Dannes - Camiers,DCQ
Daours,DAO
Dardilly Le Jubin,DDJ
Dardilly Les Mouilles,DDY
Darsac,DAR
Dax,DAX
Decize,DZE
Delle,DEL
Deluz,DLZ
Denain,DEN
Dercy - Froidmont,DER
Dettwiller,DEE
Deuil - Montmagny,DEU
Deville,DVI
Die,DIE
Diemeringen,DRI
Dieppe,DEV
Dieulouard,DID
Dieupentale,DIP
Digoin,DIG
Dijon,DJV
Dijon Porte Neuve,DJP
Dinan,DIN
Dingé,DNE
Dirinon,DIR
Dissay,DIF
Dives-sur-Mer - Cabourg,DVQ
Dives-sur-Mer Port Guillaume,DSU
Dol-de-Bretagne,DOL
Dole,DLE
Dombasle-sur-Meurthe,DBS
Domblans - Voiteur,DBV
Domfront-en-Champagne,DFO
Dommartin - Lissieu,DLU
Dommartin - Remiencourt,DMM
